id_ticket,fecha,id_tienda,id_cliente
TICKET_000105,2024-04-01,TOSTAO_19,CUST_01929
TICKET_000106,2024-10-28,TOSTAO_04,CUST_01646
TICKET_000107,2024-05-28,TOSTAO_09,CUST_01333
TICKET_000108,2024-03-03,TOSTAO_11,CUST_01626
TICKET_000109,2024-12-12,TOSTAO_12,CUST_00939
TICKET_000110,2024-06-28,TOSTAO_01,CUST_01880
TICKET_000111,2024-02-18,TOSTAO_09,CUST_01108
TICKET_000112,2024-11-22,TOSTAO_19,CUST_00990
TICKET_000113,2024-10-31,TOSTAO_16,CUST_00286
TICKET_000114,2024-04-22,TOSTAO_19,CUST_01702
TICKET_000115,2024-05-10,TOSTAO_19,CUST_01482
TICKET_000116,2024-02-24,TOSTAO_07,CUST_01202
TICKET_000117,2024-09-11,TOSTAO_02,CUST_01288
TICKET_000118,2024-06-13,TOSTAO_16,CUST_00910
TICKET_000119,2024-05-26,TOSTAO_04,CUST_00915
TICKET_000120,2024-07-15,TOSTAO_02,CUST_00746
TICKET_000121,2024-08-09,TOSTAO_12,CUST_01077
TICKET_000122,2024-07-20,TOSTAO_14,CUST_02107
TICKET_000123,2024-08-24,TOSTAO_11,CUST_01782
TICKET_000124,2024-08-02,TOSTAO_10,CUST_02176
TICKET_000125,2024-03-16,TOSTAO_06,CUST_00342
TICKET_000126,2024-06-21,TOSTAO_14,CUST_00702
TICKET_000127,2024-10-18,TOSTAO_11,CUST_00029
TICKET_000128,2024-08-14,TOSTAO_15,CUST_00055
TICKET_000129,2024-09-06,TOSTAO_20,CUST_01763
TICKET_000130,2024-03-13,TOSTAO_01,CUST_01041
TICKET_000131,2024-05-10,TOSTAO_12,CUST_00108
TICKET_000132,2024-10-01,TOSTAO_10,CUST_01041
TICKET_000133,2024-03-20,TOSTAO_17,CUST_01800
TICKET_000134,2024-01-25,TOSTAO_15,CUST_01292
TICKET_000135,2024-02-16,TOSTAO_07,CUST_01040
TICKET_000136,2024-09-26,TOSTAO_19,CUST_00137
TICKET_000137,2024-04-12,TOSTAO_03,CUST_01183
TICKET_000138,2024-12-29,TOSTAO_13,CUST_01373
TICKET_000139,2024-11-06,TOSTAO_13,CUST_00546
TICKET_000140,2024-01-29,TOSTAO_12,CUST_00477
TICKET_000141,2024-12-24,TOSTAO_13,CUST_02051
TICKET_000142,2024-06-01,TOSTAO_09,CUST_01999
TICKET_000143,2024-10-19,TOSTAO_06,CUST_00939
TICKET_000144,2024-08-13,TOSTAO_08,CUST_00772
TICKET_000145,2024-11-25,TOSTAO_09,CUST_00825
TICKET_000146,2024-01-09,TOSTAO_17,CUST_01914
TICKET_000147,2024-05-24,TOSTAO_03,CUST_00160
TICKET_000148,2024-03-08,TOSTAO_09,CUST_01291
TICKET_000149,2024-01-25,TOSTAO_02,CUST_00955
TICKET_000150,2024-02-06,TOSTAO_05,CUST_00796
TICKET_000151,2024-11-13,TOSTAO_08,CUST_01347
TICKET_000152,2024-09-18,TOSTAO_08,CUST_02384
TICKET_000153,2024-06-29,TOSTAO_06,CUST_00191
TICKET_000154,2024-06-08,TOSTAO_18,CUST_01575
TICKET_000155,2024-08-11,TOSTAO_17,CUST_01691
TICKET_000156,2024-06-11,TOSTAO_07,CUST_02462
TICKET_000157,2024-10-04,TOSTAO_04,CUST_01888
TICKET_000158,2024-01-22,TOSTAO_18,CUST_02258
TICKET_000159,2024-09-07,TOSTAO_12,CUST_02429
TICKET_000160,2024-02-27,TOSTAO_02,CUST_01454
TICKET_000161,2024-02-08,TOSTAO_11,CUST_02205
TICKET_000162,2024-01-27,TOSTAO_15,CUST_00989
TICKET_000163,2024-09-13,TOSTAO_15,CUST_00934
TICKET_000164,2024-10-06,TOSTAO_12,CUST_01295
TICKET_000165,2024-04-02,TOSTAO_14,CUST_00591
TICKET_000166,2024-06-29,TOSTAO_03,CUST_00378
TICKET_000167,2024-12-05,TOSTAO_16,CUST_01702
TICKET_000168,2024-12-09,TOSTAO_13,CUST_01088
TICKET_000169,2024-04-04,TOSTAO_13,CUST_02059
TICKET_000170,2024-06-27,TOSTAO_12,CUST_02449
TICKET_000171,2024-11-05,TOSTAO_08,CUST_00714
TICKET_000172,2024-03-17,TOSTAO_07,CUST_00918
TICKET_000173,2024-04-15,TOSTAO_08,CUST_01329
TICKET_000174,2024-09-18,TOSTAO_09,CUST_02271
TICKET_000175,2024-11-13,TOSTAO_07,CUST_02431
TICKET_000176,2024-01-22,TOSTAO_09,CUST_00515
TICKET_000177,2024-01-25,TOSTAO_19,CUST_02170
TICKET_000178,2024-08-08,TOSTAO_19,CUST_00695
TICKET_000179,2024-12-17,TOSTAO_03,CUST_01083
TICKET_000180,2024-07-25,TOSTAO_17,CUST_01356
TICKET_000181,2024-10-19,TOSTAO_20,CUST_01388
TICKET_000182,2024-04-26,TOSTAO_02,CUST_02383
TICKET_000183,2024-07-04,TOSTAO_03,CUST_01292
TICKET_000184,2024-12-20,TOSTAO_16,CUST_02148
TICKET_000185,2024-01-02,TOSTAO_15,CUST_00553
TICKET_000186,2024-12-10,TOSTAO_03,CUST_02114
TICKET_000187,2024-06-12,TOSTAO_11,CUST_02335
TICKET_000188,2024-04-02,TOSTAO_09,CUST_00862
TICKET_000189,2024-10-10,TOSTAO_15,CUST_01957
TICKET_000190,2024-07-25,TOSTAO_20,CUST_01275
TICKET_000191,2024-10-08,TOSTAO_03,CUST_02167
TICKET_000192,2024-06-27,TOSTAO_20,CUST_00490
TICKET_000193,2024-11-01,TOSTAO_15,CUST_01247
TICKET_000194,2024-05-05,TOSTAO_18,CUST_01360
TICKET_000195,2024-09-20,TOSTAO_05,CUST_01382
TICKET_000196,2024-11-06,TOSTAO_10,CUST_02475
TICKET_000197,2024-11-23,TOSTAO_01,CUST_01988
TICKET_000198,2024-12-26,TOSTAO_06,CUST_01010
TICKET_000199,2024-11-19,TOSTAO_04,CUST_00494
TICKET_000200,2024-12-04,TOSTAO_07,CUST_01368
TICKET_000201,2024-11-11,TOSTAO_17,CUST_01441
TICKET_000202,2024-12-20,TOSTAO_14,CUST_00962
TICKET_000203,2024-04-26,TOSTAO_12,CUST_00665
TICKET_000204,2024-02-12,TOSTAO_14,CUST_01350
TICKET_000205,2024-12-01,TOSTAO_15,CUST_01148
TICKET_000206,2024-02-21,TOSTAO_15,CUST_01693
TICKET_000207,2024-03-17,TOSTAO_11,CUST_00350
TICKET_000208,2024-11-07,TOSTAO_10,CUST_00445
TICKET_000209,2024-11-05,TOSTAO_13,CUST_01400
TICKET_000210,2024-08-01,TOSTAO_15,CUST_00521
TICKET_000211,2024-05-31,TOSTAO_05,CUST_00859
TICKET_000212,2024-07-20,TOSTAO_04,CUST_00915
TICKET_000213,2024-04-17,TOSTAO_17,CUST_00631
TICKET_000214,2024-05-17,TOSTAO_02,CUST_01101
TICKET_000215,2024-05-04,TOSTAO_14,CUST_00999
TICKET_000216,2024-08-16,TOSTAO_09,CUST_01923
TICKET_000217,2024-02-18,TOSTAO_05,CUST_00956
TICKET_000218,2024-10-26,TOSTAO_06,CUST_00342
TICKET_000219,2024-05-29,TOSTAO_15,CUST_01869
TICKET_000220,2024-01-12,TOSTAO_08,CUST_01932
TICKET_000221,2024-04-13,TOSTAO_08,CUST_02004
TICKET_000222,2024-05-28,TOSTAO_18,CUST_02454
TICKET_000223,2024-08-13,TOSTAO_18,CUST_00481
TICKET_000224,2024-06-28,TOSTAO_04,CUST_01690
TICKET_000225,2024-05-22,TOSTAO_10,CUST_00244
TICKET_000226,2024-06-06,TOSTAO_14,CUST_00948
TICKET_000227,2024-07-24,TOSTAO_02,CUST_00266
TICKET_000228,2024-12-01,TOSTAO_20,CUST_02429
TICKET_000229,2024-01-25,TOSTAO_12,CUST_01980
TICKET_000230,2024-01-31,TOSTAO_06,CUST_01682
TICKET_000231,2024-01-05,TOSTAO_02,CUST_02393
TICKET_000232,2024-03-23,TOSTAO_09,CUST_00149
TICKET_000233,2024-03-20,TOSTAO_04,CUST_00609
TICKET_000234,2024-11-03,TOSTAO_07,CUST_00422
TICKET_000235,2024-09-12,TOSTAO_14,CUST_02203
TICKET_000236,2024-03-02,TOSTAO_06,CUST_02294
TICKET_000237,2024-03-05,TOSTAO_18,CUST_02010
TICKET_000238,2024-06-12,TOSTAO_11,CUST_00497
TICKET_000239,2024-07-14,TOSTAO_18,CUST_00624
TICKET_000240,2024-04-22,TOSTAO_09,CUST_00017
TICKET_000241,2024-08-29,TOSTAO_11,CUST_02280
TICKET_000242,2024-12-08,TOSTAO_12,CUST_01440
TICKET_000243,2024-03-27,TOSTAO_03,CUST_00408
TICKET_000244,2024-08-15,TOSTAO_19,CUST_00399
TICKET_000245,2024-09-17,TOSTAO_10,CUST_01344
TICKET_000246,2024-02-18,TOSTAO_09,CUST_01614
TICKET_000247,2024-09-22,TOSTAO_08,CUST_00652
TICKET_000248,2024-08-13,TOSTAO_17,CUST_00783
TICKET_000249,2024-11-10,TOSTAO_20,CUST_02462
TICKET_000250,2024-02-01,TOSTAO_17,CUST_00039
TICKET_000251,2024-05-05,TOSTAO_07,CUST_02286
TICKET_000252,2024-12-13,TOSTAO_15,CUST_00770
TICKET_000253,2024-10-04,TOSTAO_01,CUST_01725
TICKET_000254,2024-10-07,TOSTAO_08,CUST_01135
TICKET_000255,2024-04-13,TOSTAO_10,CUST_01856
TICKET_000256,2024-10-28,TOSTAO_02,CUST_00923
TICKET_000257,2024-03-30,TOSTAO_14,CUST_02257
TICKET_000258,2024-08-10,TOSTAO_04,CUST_01125
TICKET_000259,2024-11-05,TOSTAO_10,CUST_02453
TICKET_000260,2024-09-29,TOSTAO_03,CUST_00526
TICKET_000261,2024-06-10,TOSTAO_19,CUST_01939
TICKET_000262,2024-01-30,TOSTAO_04,CUST_01141
TICKET_000263,2024-11-14,TOSTAO_15,CUST_00476
TICKET_000264,2024-09-16,TOSTAO_15,CUST_01071
TICKET_000265,2024-03-01,TOSTAO_13,CUST_01795
TICKET_000266,2024-07-16,TOSTAO_19,CUST_01901
TICKET_000267,2024-03-09,TOSTAO_20,CUST_01957
TICKET_000268,2024-12-21,TOSTAO_07,CUST_00638
TICKET_000269,2024-10-23,TOSTAO_12,CUST_01852
TICKET_000270,2024-12-07,TOSTAO_14,CUST_00163
TICKET_000271,2024-08-15,TOSTAO_11,CUST_02298
TICKET_000272,2024-06-08,TOSTAO_15,CUST_01172
TICKET_000273,2024-05-21,TOSTAO_18,CUST_02362
TICKET_000274,2024-12-10,TOSTAO_09,CUST_01932
TICKET_000275,2024-11-22,TOSTAO_17,CUST_02337
TICKET_000276,2024-02-12,TOSTAO_17,CUST_00177
TICKET_000277,2024-03-05,TOSTAO_16,CUST_01538
TICKET_000278,2024-05-04,TOSTAO_15,CUST_00588
TICKET_000279,2024-02-01,TOSTAO_04,CUST_00532
TICKET_000280,2024-07-31,TOSTAO_09,CUST_00782
TICKET_000281,2024-02-13,TOSTAO_03,CUST_01012
TICKET_000282,2024-07-15,TOSTAO_10,CUST_02316
TICKET_000283,2024-02-16,TOSTAO_08,CUST_02286
TICKET_000284,2024-12-01,TOSTAO_18,CUST_00259
TICKET_000285,2024-01-08,TOSTAO_16,CUST_01916
TICKET_000286,2024-10-28,TOSTAO_13,CUST_01153
TICKET_000287,2024-09-16,TOSTAO_05,CUST_01530
TICKET_000288,2024-08-14,TOSTAO_20,CUST_00265
TICKET_000289,2024-12-29,TOSTAO_03,CUST_01250
TICKET_000290,2024-06-04,TOSTAO_01,CUST_00190
TICKET_000291,2024-03-15,TOSTAO_17,CUST_00896
TICKET_000292,2024-12-12,TOSTAO_16,CUST_00724
TICKET_000293,2024-07-19,TOSTAO_08,CUST_02049
TICKET_000294,2024-07-09,TOSTAO_14,CUST_01337
TICKET_000295,2024-09-08,TOSTAO_19,CUST_02258
TICKET_000296,2024-03-31,TOSTAO_04,CUST_00142
TICKET_000297,2024-12-09,TOSTAO_16,CUST_01751
TICKET_000298,2024-10-10,TOSTAO_19,CUST_01660
TICKET_000299,2024-10-12,TOSTAO_14,CUST_02137
TICKET_000300,2024-03-08,TOSTAO_09,CUST_01622
TICKET_000301,2024-03-02,TOSTAO_12,CUST_01694
TICKET_000302,2024-12-22,TOSTAO_09,CUST_02045
TICKET_000303,2024-08-03,TOSTAO_13,CUST_01032
TICKET_000304,2024-06-22,TOSTAO_19,CUST_01897
TICKET_000305,2024-11-02,TOSTAO_19,CUST_00505
TICKET_000306,2024-03-16,TOSTAO_02,CUST_01516
TICKET_000307,2024-09-18,TOSTAO_12,CUST_01937
TICKET_000308,2024-04-02,TOSTAO_08,CUST_00867
TICKET_000309,2024-10-28,TOSTAO_11,CUST_01160
TICKET_000310,2024-09-01,TOSTAO_10,CUST_00318
TICKET_000311,2024-02-10,TOSTAO_19,CUST_01813
TICKET_000312,2024-07-10,TOSTAO_13,CUST_00907
TICKET_000313,2024-11-27,TOSTAO_13,CUST_02037
TICKET_000314,2024-04-12,TOSTAO_14,CUST_00520
TICKET_000315,2024-06-09,TOSTAO_05,CUST_00594
TICKET_000316,2024-08-30,TOSTAO_09,CUST_01794
TICKET_000317,2024-02-20,TOSTAO_03,CUST_01564
TICKET_000318,2024-04-02,TOSTAO_08,CUST_01936
TICKET_000319,2024-08-22,TOSTAO_05,CUST_01999
TICKET_000320,2024-10-20,TOSTAO_11,CUST_01462
TICKET_000321,2024-01-30,TOSTAO_03,CUST_01890
TICKET_000322,2024-02-17,TOSTAO_04,CUST_01142
TICKET_000323,2024-01-07,TOSTAO_01,CUST_01592
TICKET_000324,2024-05-05,TOSTAO_05,CUST_01830
TICKET_000325,2024-04-22,TOSTAO_03,CUST_01400
TICKET_000326,2024-12-28,TOSTAO_19,CUST_01258
TICKET_000327,2024-12-22,TOSTAO_18,CUST_01732
TICKET_000328,2024-04-18,TOSTAO_04,CUST_01302
TICKET_000329,2024-06-10,TOSTAO_19,CUST_00821
TICKET_000330,2024-12-06,TOSTAO_12,CUST_01004
TICKET_000331,2024-10-06,TOSTAO_15,CUST_00909
TICKET_000332,2024-04-08,TOSTAO_19,CUST_02152
TICKET_000333,2024-03-04,TOSTAO_11,CUST_01890
TICKET_000334,2024-07-02,TOSTAO_12,CUST_00558
TICKET_000335,2024-11-03,TOSTAO_04,CUST_00695
TICKET_000336,2024-07-21,TOSTAO_14,CUST_01715
TICKET_000337,2024-06-11,TOSTAO_20,CUST_01864
TICKET_000338,2024-11-20,TOSTAO_16,CUST_01725
TICKET_000339,2024-10-24,TOSTAO_16,CUST_00277
TICKET_000340,2024-07-02,TOSTAO_18,CUST_00019
TICKET_000341,2024-03-05,TOSTAO_01,CUST_01573
TICKET_000342,2024-02-04,TOSTAO_14,CUST_00802
TICKET_000343,2024-12-20,TOSTAO_13,CUST_00910
TICKET_000344,2024-05-02,TOSTAO_08,CUST_01090
TICKET_000345,2024-01-13,TOSTAO_02,CUST_01951
TICKET_000346,2024-02-24,TOSTAO_07,CUST_01589
TICKET_000347,2024-02-22,TOSTAO_17,CUST_01305
TICKET_000348,2024-02-23,TOSTAO_18,CUST_00160
TICKET_000349,2024-01-30,TOSTAO_08,CUST_01229
TICKET_000350,2024-12-26,TOSTAO_17,CUST_01465
TICKET_000351,2024-03-28,TOSTAO_06,CUST_01961
TICKET_000352,2024-05-16,TOSTAO_04,CUST_00428
TICKET_000353,2024-04-21,TOSTAO_01,CUST_02449
TICKET_000354,2024-07-31,TOSTAO_01,CUST_01125
TICKET_000355,2024-07-29,TOSTAO_05,CUST_00913
TICKET_000356,2024-10-29,TOSTAO_03,CUST_01998
TICKET_000357,2024-04-09,TOSTAO_09,CUST_00649
TICKET_000358,2024-04-09,TOSTAO_13,CUST_01197
TICKET_000359,2024-01-03,TOSTAO_08,CUST_00940
TICKET_000360,2024-08-14,TOSTAO_10,CUST_02097
TICKET_000361,2024-04-11,TOSTAO_17,CUST_02006
TICKET_000362,2024-09-24,TOSTAO_11,CUST_00541
TICKET_000363,2024-08-17,TOSTAO_16,CUST_00119
TICKET_000364,2024-10-09,TOSTAO_15,CUST_01706
TICKET_000365,2024-08-11,TOSTAO_07,CUST_00033
TICKET_000366,2024-11-26,TOSTAO_13,CUST_01480
TICKET_000367,2024-08-13,TOSTAO_12,CUST_01103
TICKET_000368,2024-11-07,TOSTAO_11,CUST_00434
TICKET_000369,2024-02-28,TOSTAO_10,CUST_02410
TICKET_000370,2024-11-16,TOSTAO_15,CUST_00216
TICKET_000371,2024-09-04,TOSTAO_02,CUST_02470
TICKET_000372,2024-10-20,TOSTAO_18,CUST_02494
TICKET_000373,2024-08-22,TOSTAO_13,CUST_02379
TICKET_000374,2024-07-02,TOSTAO_12,CUST_02494
TICKET_000375,2024-12-23,TOSTAO_06,CUST_02202
TICKET_000376,2024-09-29,TOSTAO_16,CUST_00245
TICKET_000377,2024-01-08,TOSTAO_15,CUST_02020
TICKET_000378,2024-02-13,TOSTAO_04,CUST_02122
TICKET_000379,2024-06-18,TOSTAO_08,CUST_02370
TICKET_000380,2024-12-14,TOSTAO_13,CUST_01677
TICKET_000381,2024-03-29,TOSTAO_20,CUST_00980
TICKET_000382,2024-07-24,TOSTAO_20,CUST_00685
TICKET_000383,2024-02-27,TOSTAO_20,CUST_01428
TICKET_000384,2024-10-04,TOSTAO_09,CUST_01773
TICKET_000385,2024-05-28,TOSTAO_19,CUST_02330
TICKET_000386,2024-05-11,TOSTAO_15,CUST_00084
TICKET_000387,2024-04-12,TOSTAO_04,CUST_00475
TICKET_000388,2024-10-06,TOSTAO_04,CUST_01983
TICKET_000389,2024-11-18,TOSTAO_20,CUST_02481
TICKET_000390,2024-09-05,TOSTAO_05,CUST_01350
TICKET_000391,2024-11-12,TOSTAO_19,CUST_00384
TICKET_000392,2024-08-26,TOSTAO_18,CUST_01933
TICKET_000393,2024-07-03,TOSTAO_04,CUST_01910
TICKET_000394,2024-05-28,TOSTAO_10,CUST_00272
TICKET_000395,2024-05-18,TOSTAO_20,CUST_01584
TICKET_000396,2024-07-09,TOSTAO_09,CUST_01105
TICKET_000397,2024-01-01,TOSTAO_07,CUST_01402
TICKET_000398,2024-09-07,TOSTAO_13,CUST_02121
TICKET_000399,2024-06-23,TOSTAO_01,CUST_00192
TICKET_000400,2024-12-04,TOSTAO_01,CUST_00078
TICKET_000401,2024-08-03,TOSTAO_01,CUST_00902
TICKET_000402,2024-10-09,TOSTAO_13,CUST_01000
TICKET_000403,2024-03-20,TOSTAO_20,CUST_01482
TICKET_000404,2024-01-22,TOSTAO_07,CUST_00840
TICKET_000405,2024-11-23,TOSTAO_12,CUST_00113
TICKET_000406,2024-02-26,TOSTAO_01,CUST_02166
TICKET_000407,2024-02-16,TOSTAO_13,CUST_02337
TICKET_000408,2024-08-02,TOSTAO_20,CUST_01846
TICKET_000409,2024-07-20,TOSTAO_05,CUST_00518
TICKET_000410,2024-08-06,TOSTAO_10,CUST_02435
TICKET_000411,2024-03-14,TOSTAO_11,CUST_00154
TICKET_000412,2024-05-27,TOSTAO_03,CUST_00596
TICKET_000413,2024-11-18,TOSTAO_10,CUST_01307
TICKET_000414,2024-09-14,TOSTAO_19,CUST_01089
TICKET_000415,2024-02-17,TOSTAO_04,CUST_01272
TICKET_000416,2024-10-27,TOSTAO_09,CUST_00817
TICKET_000417,2024-10-14,TOSTAO_17,CUST_01190
TICKET_000418,2024-09-27,TOSTAO_09,CUST_02427
TICKET_000419,2024-06-18,TOSTAO_08,CUST_01517
TICKET_000420,2024-03-03,TOSTAO_05,CUST_01390
TICKET_000421,2024-11-13,TOSTAO_16,CUST_00331
TICKET_000422,2024-03-17,TOSTAO_10,CUST_02435
TICKET_000423,2024-07-27,TOSTAO_11,CUST_00390
TICKET_000424,2024-07-05,TOSTAO_11,CUST_00445
TICKET_000425,2024-04-16,TOSTAO_18,CUST_02140
TICKET_000426,2024-07-04,TOSTAO_07,CUST_00256
TICKET_000427,2024-05-08,TOSTAO_06,CUST_00974
TICKET_000428,2024-05-12,TOSTAO_18,CUST_02069
TICKET_000429,2024-03-09,TOSTAO_10,CUST_02188
TICKET_000430,2024-12-09,TOSTAO_14,CUST_01335
TICKET_000431,2024-12-27,TOSTAO_17,CUST_02145
TICKET_000432,2024-09-17,TOSTAO_16,CUST_02124
TICKET_000433,2024-10-11,TOSTAO_16,CUST_00495
TICKET_000434,2024-04-03,TOSTAO_17,CUST_00289
TICKET_000435,2024-04-24,TOSTAO_10,CUST_01737
TICKET_000436,2024-04-27,TOSTAO_08,CUST_00412
TICKET_000437,2024-01-19,TOSTAO_15,CUST_01960
TICKET_000438,2024-05-20,TOSTAO_16,CUST_00093
TICKET_000439,2024-11-12,TOSTAO_17,CUST_00856
TICKET_000440,2024-04-12,TOSTAO_17,CUST_01777
TICKET_000441,2024-01-29,TOSTAO_16,CUST_02464
TICKET_000442,2024-12-29,TOSTAO_14,CUST_01223
TICKET_000443,2024-01-30,TOSTAO_16,CUST_02483
TICKET_000444,2024-07-03,TOSTAO_20,CUST_00732
TICKET_000445,2024-11-28,TOSTAO_20,CUST_02383
TICKET_000446,2024-12-04,TOSTAO_08,CUST_00206
TICKET_000447,2024-04-16,TOSTAO_17,CUST_00898
TICKET_000448,2024-05-15,TOSTAO_05,CUST_02362
TICKET_000449,2024-07-29,TOSTAO_09,CUST_00583
TICKET_000450,2024-03-04,TOSTAO_05,CUST_00490
